// All unique phrases extracted from story-chunks + pattern-examples
// Format: phrase | type

a bit ahead                                        | chunk
Don't tell me                                      | chunk
Don't worry about                                  | chunk
done arguing                                       | chunk
done putting up with                               | chunk
done tiptoeing around                              | chunk
double-check                                       | chunk
double-checking                                    | chunk
driving in the city                                | chunk
each other                                         | chunk
early in the morning                               | chunk
early withdrawal                                   | chunk
easy to get carried away                           | chunk
easy to lose track of time                         | chunk
easy to take things for granted                    | chunk
either                                             | chunk
Either option                                      | chunk
end up doing                                       | chunk
end up going                                       | chunk
end up staying                                     | chunk
end up together                                    | chunk
ended up hitting it off                            | chunk
ended up pulling an all-nighter                    | chunk
ended up staying                                   | chunk
enjoy cooking                                      | chunk
enjoys going off the beaten track                  | chunk
enjoys unwinding                                   | chunk
equipment                                          | chunk
Even if                                            | chunk
eventually                                         | chunk
eventually gave in to                              | chunk
every day                                          | chunk
every morning                                      | chunk
every time                                         | chunk
everything is fine                                 | chunk
exactly                                            | chunk
excited about                                      | chunk
explain yourself                                   | chunk
extra effort                                       | chunk
fallen behind on her coursework                    | chunk
falling asleep                                     | chunk
faster than I expected                             | chunk
Feel free to                                       | chunk
feel that way                                      | chunk
feel the same way                                  | chunk
feeling sorry for yourself                         | chunk
feels at home                                      | chunk
feels left out of                                  | chunk
feels like                                         | chunk
feels off                                          | chunk
fell asleep                                        | chunk
felt bad about                                     | chunk
felt completely at home                            | chunk
felt left out of                                   | chunk
fever and chills                                   | chunk
final presentation                                 | chunk
finally caught up with                             | chunk
finally figured out                                | chunk
finally finished                                   | chunk
finally ironed out                                 | chunk
finally opened up about                            | chunk
finally plucked up the courage                     | chunk
find a pen                                         | chunk
finds a way                                        | chunk
finds time for                                     | chunk
finish the project                                 | chunk
finished reading                                   | chunk
finished that already                              | chunk
first step to                                      | chunk
first week on the job                              | chunk
first-timer                                        | chunk
fix it myself                                      | chunk
fix the glitch                                     | chunk
flying over the ocean                              | chunk
follow the steps                                   | chunk
follow-up                                          | chunk
for about a week                                   | chunk
for me                                             | chunk
for my taste                                       | chunk
for three weeks                                    | chunk
for two days                                       | chunk
former boss                                        | chunk
found something better                             | chunk
free shipping                                      | chunk
from a challenge                                   | chunk
From what I hear                                   | chunk
From what I know                                   | chunk
frustrated with                                    | chunk
fully aware of how                                 | chunk
gap year                                           | chunk
gave me                                            | chunk
gave up chasing his dream                          | chunk
gave up trying                                     | chunk
gave up waiting                                    | chunk
get it right                                       | chunk
get lonely                                         | chunk
get some rest                                      | chunk
get the job                                        | chunk
get through this crisis                            | chunk
get what you want                                  | chunk
gets worse                                         | chunk
give it a chance                                   | chunk
give me a call                                     | chunk
give this to kids                                  | chunk
go back to normal                                  | chunk
going for a walk                                   | chunk
going to rain                                      | chunk
good at                                            | chunk
good at reading                                    | chunk
good at smoothing things over                      | chunk
good at thinking on her feet                       | chunk
good idea                                          | chunk
good teamwork                                      | chunk
got frustrated with                                | chunk
got it done                                        | chunk
got plenty of time                                 | chunk
got promoted                                       | chunk
got too stressful                                  | chunk
got used to the noise                              | chunk
got used to waking up                              | chunk
got worse                                          | chunk
grab a quick breakfast                             | chunk
grab my keys                                       | chunk
grad school                                        | chunk
had a chance to                                    | chunk
had already passed                                 | chunk
had been cancelled                                 | chunk
had borrowed                                       | chunk
Had I known                                        | chunk
had to put up with                                 | chunk
halfway through                                    | chunk
handle this situation                              | chunk
hard to bounce back                                | chunk
hard to keep a straight face                       | chunk
hard to say no                                     | chunk
hard to work with                                  | chunk
has to stop                                        | chunk
hasn't arrived yet                                 | chunk
hasn't gotten over                                 | chunk
have a chance to                                   | chunk
have an equal say                                  | chunk
have mixed feelings about                          | chunk
have to hand in                                    | chunk
have to leave                                      | chunk
Have you ever                                      | chunk
Have you tried                                     | chunk
haven't been myself                                | chunk
having breakfast in bed                            | chunk
having trouble keeping up                          | chunk
having trouble sleeping                            | chunk
having trouble wrapping his head around            | chunk
He exaggerates                                     | chunk
head-on                                            | chunk
hear both sides                                    | chunk
heard the news                                     | chunk
heard them all                                     | chunk
help me sleep                                      | chunk
helps me relax                                     | chunk
her finances                                       | chunk
her late grandmother                               | chunk
her recovery                                       | chunk
hiding something                                   | chunk
his designs                                        | chunk
his excuses                                        | chunk
How come                                           | chunk
How did you end up                                 | chunk
How do you                                         | chunk
How do you manage to                               | chunk
how far we have come                               | chunk
How is it that                                     | chunk
How long does                                      | chunk
How long have they been                            | chunk
How long have you been                             | chunk
how long this will take                            | chunk
How long until                                     | chunk
how much                                           | chunk
How much do I owe                                  | chunk
How much is                                        | chunk
how much the city has changed                      | chunk
how much they raised                               | chunk
how much time                                      | chunk
how quickly                                        | chunk
how she really felt                                | chunk
how things turn out                                | chunk
Hurry up                                           | chunk
I agree with                                       | chunk
I apologize for                                    | chunk
I appreciate                                       | chunk
I backed it up                                     | chunk
I bet                                              | chunk
I can relate to                                    | chunk
I can't believe                                    | chunk
I can't connect to                                 | chunk
I can't stand                                      | chunk
I can't wait                                       | chunk
I can't wait to                                    | chunk
I could see                                        | chunk
I didn't realize it was                            | chunk
I disagree with                                    | chunk
I don't like                                       | chunk
I don't think                                      | chunk
I don't want to                                    | chunk
I feel at home                                     | chunk
I feel bad about                                   | chunk
I feel left out of                                 | chunk
I feel like                                        | chunk
I guess                                            | chunk
I had a chance to                                  | chunk
I had a feeling                                    | chunk
I had a hard time                                  | chunk
I had no idea                                      | chunk
I have                                             | chunk
I have a                                           | chunk
I have a reservation                               | chunk
I have experience                                  | chunk
I hope                                             | chunk
I keep                                             | chunk
I know                                             | chunk
I know how it looks                                | chunk
I know how to                                      | chunk
I know the answer                                  | chunk
I like                                             | chunk
I like to                                          | chunk
I need                                             | chunk
I need to                                          | chunk
I really appreciate                                | chunk
I respect her decision                             | chunk
I should get going                                 | chunk
I sympathize with                                  | chunk
I think                                            | chunk
I think I'm at the wrong                           | chunk
I understand why                                   | chunk
I used to                                          | chunk
I want                                             | chunk
I want to                                          | chunk
I wanted to                                        | chunk
I was wondering                                    | chunk
I was wondering if                                 | chunk
I wish I could                                     | chunk
I wish things were                                 | chunk
I won't be able to                                 | chunk
I wonder                                           | chunk
I wouldn't                                         | chunk
I wouldn't say                                     | chunk
I'd been                                           | chunk
I'd like to                                        | chunk
I'd rather                                         | chunk
I'd suggest                                        | chunk
I'll be                                            | chunk
I'll get                                           | chunk
I'll have                                          | chunk
I'll have it done by                               | chunk
I'll have the draft                                | chunk
I'll make                                          | chunk
I'll take care of                                  | chunk
I'll take it                                       | chunk
I'm afraid                                         | chunk
I'm afraid I                                       | chunk
I'm all set with                                   | chunk
I'm allergic to                                    | chunk
I'm confident that                                 | chunk
I'm confused about                                 | chunk
I'm curious                                        | chunk
I'm curious about                                  | chunk
I'm disappointed with                              | chunk
I'm down for                                       | chunk
I'm easy                                           | chunk
I'm excited about                                  | chunk
I'm free                                           | chunk
I'm glad                                           | chunk
I'm going to                                       | chunk
I'm here to                                        | chunk
I'm looking for                                    | chunk
I'm looking forward to                             | chunk
I'm majoring in                                    | chunk
I'm not sure                                       | chunk
I'm pretty sure                                    | chunk
I'm satisfied with                                 | chunk
I'm saving up                                      | chunk
I'm sore from                                      | chunk
I'm sorry                                          | chunk
I'm thinking about                                 | chunk
I'm trying to                                      | chunk
I'm with                                           | chunk
I'm working on                                     | chunk
I'm worried about                                  | chunk
I'm writing to                                     | chunk
I've always been                                   | chunk
I've always thought                                | chunk
I've always wanted to                              | chunk
I've been                                          | chunk
I've been dealing with                             | chunk
I've been going through                            | chunk
I've been meaning to                               | chunk
I've been thinking about                           | chunk
I've been trying to                                | chunk
I've come to realize                               | chunk
I've got no regrets                                | chunk
I've had                                           | chunk
I've never really                                  | chunk
I've practiced                                     | chunk
If I had to choose                                 | chunk
If only                                            | chunk
implications of that decision                      | chunk
in a while                                         | chunk
in ages                                            | chunk
in blue                                            | chunk
In case                                            | chunk
in charge of onboarding                            | chunk
in charge of running                               | chunk
in charge of social media                          | chunk
in love                                            | chunk
in one day                                         | chunk
In the end                                         | chunk
in the window                                      | chunk
in therapy                                         | chunk
in total                                           | chunk
installments                                       | chunk
instead                                            | chunk
international transfers                            | chunk
into pushing the envelope                          | chunk
into tens                                          | chunk
Is breakfast included                              | chunk
Is it far                                          | chunk
Is it okay if                                      | chunk
Is it safe to                                      | chunk
Is it too late to                                  | chunk
is solid                                           | chunk
Is the internet down                               | chunk
Is there a fee for                                 | chunk
Is there anything else I can do                    | chunk
it always pays to                                  | chunk
It depends on                                      | chunk
It drives me                                       | chunk
It hurts when                                      | chunk
It looks                                           | chunk
It looks like                                      | chunk
It makes sense to                                  | chunk
It might be better to                              | chunk
It must be                                         | chunk
it needs a bit more                                | chunk
It occurred to me that                             | chunk
It seems like                                      | chunk
It should arrive                                   | chunk
it showed                                          | chunk
It sounds like                                     | chunk
It turns out                                       | chunk
It used to be that                                 | chunk
It was getting                                     | chunk
it was okay to                                     | chunk
It was the best                                    | chunk
it'll be okay                                      | chunk
It's                                               | chunk
It's a bit too                                     | chunk
It's a good thing                                  | chunk
It's about time                                    | chunk
It's freezing                                      | chunk
it's just                                          | chunk
it's just complicated                              | chunk
It's like                                          | chunk
It's like we'd                                     | chunk
It's no wonder                                     | chunk
It's not as simple as                              | chunk
It's not letting me                                | chunk
It's up to                                         | chunk
It's your turn                                     | chunk
judge you by                                       | chunk
just ask                                           | chunk
just by watching                                   | chunk
just for                                           | chunk
just got back                                      | chunk
just in                                            | chunk
just landed                                        | chunk
just ran into                                      | chunk
just talking                                       | chunk
Just to                                            | chunk
just want peace                                    | chunk
just yet                                           | chunk
keep forgetting                                    | chunk
keep getting sidetracked                           | chunk
Keep going                                         | chunk
keep pushing                                       | chunk
keep pushing forward                               | chunk
keep putting                                       | chunk
keep you focused                                   | chunk
keeping in touch                                   | chunk
keeps putting off                                  | chunk
keeps running into                                 | chunk
kept quiet                                         | chunk
landed a job                                       | chunk
last night                                         | chunk
last quarter                                       | chunk
last week                                          | chunk
lately                                             | chunk
layoffs are coming                                 | chunk
leading the project                                | chunk
lean toward                                        | chunk
learning Korean                                    | chunk
left my phone                                      | chunk
left my phone in the car                           | chunk
left out                                           | chunk
left the stove on                                  | chunk
left without him                                   | chunk
lent me                                            | chunk
let me                                             | chunk
Let me help                                        | chunk
Let me know                                        | chunk
Let me know if                                     | chunk
Let's                                              | chunk
Let's actually                                     | chunk
Let's call it                                      | chunk
Let's circle back                                  | chunk
Let's find a way                                   | chunk
Let's go                                           | chunk
Let's grab                                         | chunk
let's put this behind us                           | chunk
Let's say                                          | chunk
letting it go                                      | chunk
letting things go                                  | chunk
living abroad                                      | chunk
living by the beach                                | chunk
living on his own                                  | chunk
long hours                                         | chunk
long weekend                                       | chunk
look exhausted                                     | chunk
look so young                                      | chunk
looking forward to catching up                     | chunk
looking forward to starting                        | chunk
Looks like                                         | chunk
lose the job                                       | chunk
love the vibe                                      | chunk
made everything easier                             | chunk
made it work                                       | chunk
made me more determined                            | chunk
made sure to                                       | chunk
made the wrong choice                              | chunk
make a grocery run                                 | chunk
make changes                                       | chunk
make it work                                       | chunk
make time for                                      | chunk
makes him uncomfortable                            | chunk
makes no sense                                     | chunk
makes the most sense                               | chunk
making a decision                                  | chunk
making sure                                        | chunk
making that decision                               | chunk
making the same mistake                            | chunk
manage to                                          | chunk
manage to finish                                   | chunk
managed to                                         | chunk
May I                                              | chunk
maybe we can win                                   | chunk
mean to interrupt                                  | chunk
means a lot to me                                  | chunk
meant to hurt                                      | chunk
meat eater                                         | chunk
medium rare                                        | chunk
might be upset                                     | chunk
might not win                                      | chunk
mindfulness and meditation                         | chunk
miss hanging out                                   | chunk
miss the train                                     | chunk
miss waking up                                     | chunk
missed my flight                                   | chunk
misses being carefree                              | chunk
missing the deadline                               | chunk
missing your birthday                              | chunk
more than capable                                  | chunk
more than capable of leading                       | chunk
morning shift                                      | chunk
motion sickness                                    | chunk
move forward                                       | chunk
moving abroad                                      | chunk
moving forward                                     | chunk
my dreams                                          | chunk
near-accident                                      | chunk
need a vacation                                    | chunk
need to finish                                     | chunk
need to sort this out                              | chunk
needs to call                                      | chunk
never actually                                     | chunk
never backed down                                  | chunk
never came back                                    | chunk
never give up                                      | chunk
never pulled off                                   | chunk
never quite got used to                            | chunk
never really                                       | chunk
never ridden                                       | chunk
new chapter                                        | chunk
new policy                                         | chunk
next month                                         | chunk
next quarter                                       | chunk
next week                                          | chunk
no easy answer                                     | chunk
no point in arguing                                | chunk
no point in dwelling on                            | chunk
no point in pretending                             | chunk
no rush                                            | chunk
no way to tell                                     | chunk
noise complaints                                   | chunk
noise from upstairs                                | chunk
non-stop                                           | chunk
Not all of them are reliable                       | chunk
not as simple as                                   | chunk
not changing the price                             | chunk
not in the mood                                    | chunk
not just                                           | chunk
Not only                                           | chunk
not sign anything yet                              | chunk
not supposed to park                               | chunk
not sure how to bring this up                      | chunk
not sure if                                        | chunk
not sure what to do                                | chunk
not talent alone                                   | chunk
not used to dealing                                | chunk
nothing to worry about                             | chunk
Now that                                           | chunk
old college roommate                               | chunk
old crew                                           | chunk
on an empty stomach                                | chunk
on her way home                                    | chunk
on my own                                          | chunk
on schedule                                        | chunk
on the corner                                      | chunk
on track                                           | chunk
on your side                                       | chunk
onboarding the new staff                           | chunk
Once                                               | chunk
once in a while                                    | chunk
one another                                        | chunk
open a window                                      | chunk
open an account                                    | chunk
Order whatever you want                            | chunk
over it                                            | chunk
over the drama                                     | chunk
over-the-counter                                   | chunk
overall                                            | chunk
overreacting to everything                         | chunk
overwhelmed by                                     | chunk
owe you anything                                   | chunk
paperwork                                          | chunk
park here                                          | chunk
part of your routine                               | chunk
past midnight                                      | chunk
personal problems                                  | chunk
planned ahead                                      | chunk
planning to roll out                               | chunk
planning to set up                                 | chunk
planning to visit                                  | chunk
please everyone                                    | chunk
Please find                                        | chunk
pretend everything is fine                         | chunk
pretty quickly                                     | chunk
pro athlete                                        | chunk
proud of                                           | chunk
proud of how far                                   | chunk
proud of standing her ground                       | chunk
proud of what our team has built                   | chunk
prove myself                                       | chunk
pulling an all-nighter                             | chunk
pushing herself so hard                            | chunk
quantum physics                                    | chunk
quit your job                                      | chunk
raising kids                                       | chunk
ran out of time                                    | chunk
ready for                                          | chunk
realize you wanted to                              | chunk
really fast                                        | chunk
really into jazz                                   | chunk
really needs your help                             | chunk
really shows                                       | chunk
regret not saying                                  | chunk
regrets burning bridges                            | chunk
regrets dropping out of                            | chunk
relieved that                                      | chunk
reply to                                           | chunk
respond better to                                  | chunk
responsible for keeping                            | chunk
responsible for making sure                        | chunk
responsible for rolling out                        | chunk
rest for a couple of days                          | chunk
rethink my priorities                              | chunk
risks involved                                     | chunk
running late                                       | chunk
runs smoothly                                      | chunk
said it out loud                                   | chunk
same problems                                      | chunk
satisfied with                                     | chunk
save us later                                      | chunk
saved a lot of time                                | chunk
say no                                             | chunk
say yes                                            | chunk
saying goodbye                                     | chunk
Saying it out loud                                 | chunk
saying yes or no                                   | chunk
see a doctor                                       | chunk
set some boundaries                                | chunk
sharp pain                                         | chunk
she'd be glad to                                   | chunk
She'd rather                                       | chunk
She's all set with                                 | chunk
She's allergic to                                  | chunk
she's been crying                                  | chunk
She's down for                                     | chunk
She's had                                          | chunk
should apologize                                   | chunk
should cut back on                                 | chunk
should get some rest                               | chunk
Should I                                           | chunk
Show them you care                                 | chunk
showed up late                                     | chunk
sign the form                                      | chunk
simple thank-you                                   | chunk
since the news broke                               | chunk
since we last talked                               | chunk
sixth sense                                        | chunk
sleep better                                       | chunk
slipped away from me                               | chunk
smaller apartment                                  | chunk
smaller bills                                      | chunk
so early                                           | chunk
so much pressure                                   | chunk
social media                                       | chunk
Some people just                                   | chunk
Some Sundays                                       | chunk
someone new                                        | chunk
someone you care about                             | chunk
something                                          | chunk
something about her                                | chunk
something cold to drink                            | chunk
something is wrong                                 | chunk
something like that                                | chunk
something was off                                  | chunk
sore throat                                        | chunk
Sounds good                                        | chunk
Sounds like                                        | chunk
Speaking of                                        | chunk
split it                                           | chunk
Splitting it                                       | chunk
spoken in public                                   | chunk
start my own business                              | chunk
started cracking down on                           | chunk
started fresh                                      | chunk
started going to                                   | chunk
started opening up                                 | chunk
started pouring                                    | chunk
started studying                                   | chunk
started yelling                                    | chunk
starting fresh                                     | chunk
starting her new job                               | chunk
starting his own business                          | chunk
starting something new                             | chunk
stay for dinner                                    | chunk
stay home                                          | chunk
stay up late                                       | chunk
stayed up late                                     | chunk
stick together                                     | chunk
stop panicking                                     | chunk
Stop saying it                                     | chunk
stopped beating around the bush                    | chunk
stopped checking                                   | chunk
stopped pushing herself                            | chunk
stressed                                           | chunk
stressed about                                     | chunk
struggling to                                      | chunk
studying abroad                                    | chunk
suddenly occurred to me that                       | chunk
Suppose                                            | chunk
supposed to meet                                   | chunk
supposed to wrap up                                | chunk
switching careers                                  | chunk
sympathizes with                                   | chunk
table that                                         | chunk
take                                               | chunk
take care of yourself                              | chunk
take the calls                                     | chunk
take the whole summer off                          | chunk
take this with                                     | chunk
taken for granted                                  | chunk
takes time                                         | chunk
taking a break                                     | chunk
taking my health seriously                         | chunk
taking the train                                   | chunk
taking things slow                                 | chunk
talk about something else                          | chunk
talking about it                                   | chunk
talking to her in person                           | chunk
tastes different                                   | chunk
teaching English                                   | chunk
tech startup                                       | chunk
tensions run high                                  | chunk
terrible at small talk                             | chunk
that complicated                                   | chunk
that really hit                                    | chunk
That reminds me                                    | chunk
That speech was incredible                         | chunk
that was an understatement                         | chunk
That's                                             | chunk
That's all                                         | chunk
That's because                                     | chunk
that's not how it works                            | chunk
That's when                                        | chunk
That's why                                         | chunk
the cause of the accident                          | chunk
The commute                                        | chunk
the complexity of the situation                    | chunk
the curb                                           | chunk
the customer is right                              | chunk
the drive-through                                  | chunk
the earlier you start, the better                  | chunk
The ending of that movie                           | chunk
the energy shift                                   | chunk
the entrance of the hotel                          | chunk
the flu                                            | chunk
the front desk                                     | chunk
The full version                                   | chunk
the groceries                                      | chunk
the group ahead                                    | chunk
the heat drained                                   | chunk
the issue                                          | chunk
the local accent                                   | chunk
the mistake                                        | chunk
the news broke                                     | chunk
the next shipment                                  | chunk
The next thing I knew                              | chunk
the only                                           | chunk
the only one affected                              | chunk
the past                                           | chunk
the plan                                           | chunk
The reason I brought it up                         | chunk
The reason I left                                  | chunk
The reason she quit                                | chunk
the rest of the team                               | chunk
the reunion                                        | chunk
the right moment                                   | chunk
the risks involved                                 | chunk
the same                                           | chunk
the same thing                                     | chunk
the sound of birds chirping                        | chunk
the temptation                                     | chunk
the thought of losing you                          | chunk
the weather                                        | chunk
the whole process                                  | chunk
the whole thing                                    | chunk
the whole truth                                    | chunk
their actions                                      | chunk
there are exceptions                               | chunk
There is                                           | chunk
There's an update                                  | chunk
There's something wrong                            | chunk
these days                                         | chunk
They've been going through                         | chunk
They've been trying to                             | chunk
things to change                                   | chunk
think about it                                     | chunk
Think of something new                             | chunk
thinking about downsizing                          | chunk
thinking about switching                           | chunk
thinking about taking                              | chunk
thinking of moving closer                          | chunk
This is                                            | chunk
This is the first time                             | chunk
This is too                                        | chunk
this kind of lifestyle                             | chunk
this month                                         | chunk
this research                                      | chunk
this semester                                      | chunk
this time                                          | chunk
This traffic is insane                             | chunk
this weekend                                       | chunk
three times a week                                 | chunk
tight budget                                       | chunk
tiptoeing around                                   | chunk
tired of being taken for granted                   | chunk
tired of going around in circles                   | chunk
tired of waiting around                            | chunk
to avoid making things worse                       | chunk
to decide                                          | chunk
to fix it                                          | chunk
to get some medicine                               | chunk
to sleep better at night                           | chunk
told me sooner                                     | chunk
told your parents                                  | chunk
tonight                                            | chunk
too late to drive                                  | chunk
took a day off                                     | chunk
took so long                                       | chunk
took the deal                                      | chunk
tough week                                         | chunk
toughest year of my life                           | chunk
transfer some money                                | chunk
travel plans                                       | chunk
Trust me                                           | chunk
trying something new                               | chunk
trying to                                          | chunk
trying to concentrate                              | chunk
trying to cut down on                              | chunk
trying to get his foot in the door                 | chunk
trying to make ends meet                           | chunk
trying to study                                    | chunk
twice as fast                                      | chunk
two hours late                                     | chunk
Ultimately                                         | chunk
under pressure                                     | chunk
until we get sick                                  | chunk
unwinding with                                     | chunk
up this quarter                                    | chunk
used to be                                         | chunk
used to being                                      | chunk
used to hang out                                   | chunk
used to hate                                       | chunk
used to stay up late                               | chunk
used to walk                                       | chunk
used to working                                    | chunk
using other ATMs                                   | chunk
video games                                        | chunk
waiting around                                     | chunk
waking up early                                    | chunk
was about to give up                               | chunk
was about to head out                              | chunk
was about to text                                  | chunk
was new                                            | chunk
way ahead of                                       | chunk
we need more time                                  | chunk
We should                                          | chunk
we'd met before                                    | chunk
We're all set with                                 | chunk
We've been dealing with                            | chunk
we've been friends                                 | chunk
We've been meaning to                              | chunk
We've been thinking about                          | chunk
weekly briefings                                   | chunk
well within our budget                             | chunk
went to the same school                            | chunk
went well                                          | chunk
went wrong                                         | chunk
were lost                                          | chunk
What brought you to                                | chunk
what comes next                                    | chunk
what could go wrong                                | chunk
What do you recommend                              | chunk
What do you think                                  | chunk
What do you think about                            | chunk
what feels right                                   | chunk
What goes into                                     | chunk
What got you into                                  | chunk
What if                                            | chunk
What led to                                        | chunk
What made you                                      | chunk
what matters most                                  | chunk
what others think                                  | chunk
What time does                                     | chunk
what to do next                                    | chunk
what tomorrow might bring                          | chunk
what would you do                                  | chunk
what's going on                                    | chunk
What's keeping you                                 | chunk
What's the weather like                            | chunk
whatever she's having                              | chunk
When are they going to                             | chunk
When are you going to                              | chunk
When did he realize                                | chunk
When did she first                                 | chunk
When did you first                                 | chunk
When did you realize                               | chunk
When do we                                         | chunk
When do you think                                  | chunk
when it comes to                                   | chunk
when people are late                               | chunk
when the shortage hit                              | chunk
When was the last time                             | chunk
When will                                          | chunk
when you called                                    | chunk
whenever                                           | chunk
Where did she get                                  | chunk
Where did you get                                  | chunk
Where do they usually                              | chunk
