id,episode_num,challenge_type,question,answer,options,word_pieces
642,2,"translation","""How do I get to Myeongdong?""","저기요, 홍대 어떻게 가요?","[""어디서 타요?"",""와... 사람이 너무 많다!"",""지수! 홍대 가고 싶어요..."",""저기요, 홍대 어떻게 가요?""]",
643,2,"translation","""How do I get to the subway station?""","지하철역에 어떻게 가요?","[""지수! 홍대 가고 싶어요..."",""지하철역에 어떻게 가요?"",""에마야! 여기서 뭐 해?"",""그치? 나도 좋아!""]",
644,2,"fill_blank","저기요, 홍대 ___?","어떻게 가요","[""봐요"",""어떻게 가요"",""해요"",""없어요""]",
645,2,"fill_blank","지하철역에 ___?","어떻게 가요","[""해요"",""어떻게 가요"",""몰라요"",""안 돼요""]",
646,2,"word_order","""How do I get to Myeongdong?""","저기요 홍대 어떻게 가요",,"[""홍대"",""저기요"",""어떻게"",""가요"",""없어요""]"
647,2,"translation","""Where do I get on the bus?""","어디서 타요?","[""어디서 타요?"",""에마야! 여기서 뭐 해?"",""와... 사람이 너무 많다!"",""와, 서울 진짜 좋아요!""]",
648,2,"translation","""Where do I get on the airport bus?""","공항버스 어디서 타요?","[""그치? 나도 좋아!"",""공항버스 어디서 타요?"",""와... 사람이 너무 많다!"",""완벽해!""]",
649,2,"fill_blank","___?","어디서 타요","[""안 돼요"",""어디서 타요"",""없어요"",""봐요""]",
650,2,"fill_blank","공항버스 ___?","어디서 타요","[""해요"",""없어요"",""어디서 타요"",""봐요""]",
651,2,"word_order","""Where do I get on the bus?""","어디서 타요",,"[""없어요"",""어디서"",""타요""]"
652,3,"translation","""What is this?""","와, 저거 뭐예요?","[""괜찮아?"",""맞아요, 맞아!"",""이게 떡볶이 맞아요?"",""와, 저거 뭐예요?""]",
653,3,"translation","""What is that?""","저거 뭐예요?","[""매운 거 먹을 수 있어?"",""맞아요, 맞아!"",""괜찮아?"",""저거 뭐예요?""]",
654,3,"fill_blank","와, 저거 ___?","뭐예요","[""봐요"",""해요"",""뭐예요"",""몰라요""]",
655,3,"fill_blank","저거 ___?","뭐예요","[""뭐예요"",""몰라요"",""해요"",""없어요""]",
656,3,"word_order","""What is this?""","와 저거 뭐예요",,"[""없어요"",""뭐예요"",""와"",""저거""]"
657,3,"translation","""I want to eat samgyeopsal.""","저거 먹고 싶어요! 근데 매워요?","[""떡볶이야! 진짜 맛있어."",""괜찮아?"",""그게 바로 떡볶이 마법이야."",""저거 먹고 싶어요! 근데 매워요?""]",
658,3,"translation","""I want to eat naengmyeon.""","냉면 먹고 싶어요.","[""그게 바로 떡볶이 마법이야."",""냉면 먹고 싶어요."",""매운 거 못 먹어요... 근데 맛있어요!!"",""으악... 매워요!!""]",
659,3,"fill_blank","저거 ___! 근데 매워요?","먹고 싶어요","[""몰라요"",""먹고 싶어요"",""봐요"",""없어요""]",
660,3,"fill_blank","냉면 ___.","먹고 싶어요","[""해요"",""먹고 싶어요"",""안 돼요"",""봐요""]",
661,3,"word_order","""I want to eat samgyeopsal.""","저거 먹고 싶어요 근데 매워요",,"[""없어요"",""근데"",""매워요"",""싶어요"",""저거"",""먹고""]"
662,3,"translation","""I can't eat spicy food.""","매운 거 못 먹어요... 근데 맛있어요!!","[""그게 바로 떡볶이 마법이야."",""맞아요, 맞아!"",""매운 거 못 먹어요... 근데 맛있어요!!"",""괜찮아?""]",
663,3,"translation","""I can't eat shellfish.""","조개 못 먹어요.","[""으악... 매워요!!"",""맞아요, 맞아!"",""조개 못 먹어요."",""괜찮아?""]",
664,3,"fill_blank","매운 거 ___... 근데 맛있어요!!","못 먹어요","[""봐요"",""몰라요"",""없어요"",""못 먹어요""]",
665,3,"fill_blank","조개 ___.","못 먹어요","[""없어요"",""안 돼요"",""못 먹어요"",""봐요""]",
666,3,"word_order","""I can't eat spicy food.""","매운 거 못 먹어요 근데 맛있어요",,"[""거"",""맛있어요"",""먹어요"",""못"",""근데"",""없어요"",""매운""]"
667,4,"translation","""I'll go with this one.""","오! 그걸로 할게요.","[""어? 혹시... 지수 오빠 민준 씨예요?"",""이거 어때? 삼각김밥이랑 라면!"",""와, 편의점이 이렇게 커요?"",""오! 그걸로 할게요.""]",
668,4,"translation","""I'll have the Americano.""","아메리카노로 할게요.","[""여기서 먹어도 돼요?"",""진짜 맛있어요! 한국 편의점 너무 좋아요."",""응, 돼. 한국 편의점은 다 이래."",""아메리카노로 할게요.""]",
669,4,"fill_blank","오! 그걸___.","로 할게요","[""없어요"",""몰라요"",""로 할게요"",""해요""]",
670,4,"fill_blank","아메리카노___.","로 할게요","[""해요"",""없어요"",""안 돼요"",""로 할게요""]",
671,4,"word_order","""I'll go with this one.""","오 그걸로 할게요",,"[""그걸로"",""없어요"",""할게요"",""오""]"
672,4,"translation","""Is it okay to eat this?""","여기서 먹어도 돼요?","[""진짜 맛있어요! 한국 편의점 너무 좋아요."",""여기서 먹어도 돼요?"",""응, 나 민준이야. 에마 맞지?"",""이거 어때? 삼각김밥이랑 라면!""]",
673,4,"fill_blank","여기서 ___?","먹어도 돼요","[""안 돼요"",""먹어도 돼요"",""몰라요"",""봐요""]",
674,4,"word_order","""Is it okay to eat this?""","여기서 먹어도 돼요",,"[""먹어도"",""돼요"",""없어요"",""여기서""]"
675,5,"translation","""Have you ever tried Korean food?""","여기 진짜 맛있어. 삼겹살 먹어 본 적 있어?","[""여기는 삼겹살이 유명해."",""에마야, 뒤집어!"",""이렇게요?"",""여기 진짜 맛있어. 삼겹살 먹어 본 적 있어?""]",
676,5,"translation","""Have you ever been to Seoul?""","서울에 가 본 적 있어요?","[""이제 한국 사람 다 됐네."",""아니요! 처음이에요!"",""서울에 가 본 적 있어요?"",""여기는 삼겹살이 유명해.""]",
677,5,"word_order","""Have you ever tried Korean food?""","여기 진짜 맛있어 삼겹살 먹어 본 적 있어",,"[""맛있어"",""진짜"",""적"",""본"",""여기"",""없어요"",""먹어"",""있어"",""삼겹살""]"
678,5,"translation","""Please recommend something from the menu.""","추천해 주세요!","[""천천히 말해주실 수 있어요? 한국어 공부 중이에요."",""추천해 주세요!"",""뭐가 맛있어요?"",""여기는 삼겹살이 유명해.""]",
679,5,"translation","""Please recommend a place to stay.""","숙소 추천해 주세요.","[""천천히 말해주실 수 있어요? 한국어 공부 중이에요."",""에마야, 뒤집어!"",""여기는 삼겹살이 유명해."",""숙소 추천해 주세요.""]",
680,5,"fill_blank","___!","추천해 주세요","[""해요"",""추천해 주세요"",""몰라요"",""안 돼요""]",
681,5,"fill_blank","숙소 ___.","추천해 주세요","[""해요"",""없어요"",""안 돼요"",""추천해 주세요""]",
682,5,"word_order","""Please recommend something from the menu.""","추천해 주세요",,"[""없어요"",""주세요"",""추천해""]"
683,5,"translation","""Could you take a photo for me?""","천천히 말해주실 수 있어요? 한국어 공부 중이에요.","[""진짜 너무 맛있어요!!"",""천천히 말해주실 수 있어요? 한국어 공부 중이에요."",""추천해 주세요!"",""여기는 삼겹살이 유명해.""]",
684,5,"translation","""Could you help me?""","도와주실 수 있어요?","[""에마야, 뒤집어!"",""뭐가 맛있어요?"",""도와주실 수 있어요?"",""이렇게요?""]",
685,5,"fill_blank","천천히 말해___? 한국어 공부 중이에요.","주실 수 있어요","[""주실 수 있어요"",""봐요"",""없어요"",""안 돼요""]",
686,5,"fill_blank","도와___?","주실 수 있어요","[""주실 수 있어요"",""봐요"",""없어요"",""안 돼요""]",
687,5,"word_order","""Could you take a photo for me?""","천천히 말해주실 수 있어요 한국어 공부 중이에요",,"[""수"",""천천히"",""말해주실"",""중이에요"",""공부"",""한국어"",""없어요"",""있어요""]"
688,6,"translation","""I like Korean food.""","케이팝 진짜 좋아해요!","[""나도 케이팝 너무 좋아!"",""노래방 처음이에요!"",""케이팝 진짜 좋아해요!"",""또 오고 싶어요!""]",
689,6,"translation","""I like K-pop.""","케이팝 좋아해요.","[""이 노래 너무 좋아요!!"",""에마 잘한다!!"",""진짜요? 대박!"",""케이팝 좋아해요.""]",
690,6,"fill_blank","케이팝 진짜 ___!","좋아해요","[""해요"",""좋아해요"",""봐요"",""안 돼요""]",
691,6,"fill_blank","케이팝 ___.","좋아해요","[""봐요"",""좋아해요"",""해요"",""몰라요""]",
692,6,"word_order","""I like Korean food.""","케이팝 진짜 좋아해요",,"[""케이팝"",""좋아해요"",""진짜"",""없어요""]"
693,6,"translation","""Is it okay to call you 언니?""","저도 같이 불러도 돼요?","[""이 노래 너무 좋아요!!"",""물론이지! 가르쳐 줄게!"",""소피, 한국 노래 알아요?"",""저도 같이 불러도 돼요?""]",
694,6,"translation","""Is it okay to call you 오빠?""","오빠라고 불러도 돼요?","[""에마 잘한다!!"",""노래방 처음이에요!"",""오빠라고 불러도 돼요?"",""소피, 한국 노래 알아요?""]",
695,6,"fill_blank","저도 같이 ___?","불러도 돼요","[""안 돼요"",""불러도 돼요"",""몰라요"",""해요""]",
696,6,"fill_blank","오빠라고 ___?","불러도 돼요","[""불러도 돼요"",""안 돼요"",""봐요"",""몰라요""]",
697,6,"word_order","""Is it okay to call you 언니?""","저도 같이 불러도 돼요",,"[""돼요"",""불러도"",""저도"",""없어요"",""같이""]"
698,6,"translation","""I want to come here again.""","또 오고 싶어요!","[""저도 같이 불러도 돼요?"",""물론이지! 가르쳐 줄게!"",""또 오고 싶어요!"",""당연하지! 다 알아!""]",
699,6,"translation","""I want to come back to Korea.""","한국에 또 오고 싶어요.","[""진짜요? 대박!"",""나도 케이팝 너무 좋아!"",""한국에 또 오고 싶어요."",""노래방 처음이에요!""]",
700,6,"fill_blank","___!","또 오고 싶어요","[""해요"",""몰라요"",""또 오고 싶어요"",""봐요""]",
701,6,"fill_blank","한국에 ___.","또 오고 싶어요","[""또 오고 싶어요"",""몰라요"",""안 돼요"",""봐요""]",
702,6,"word_order","""I want to come here again.""","또 오고 싶어요",,"[""오고"",""없어요"",""또"",""싶어요""]"
703,7,"translation","""This food is fascinating.""","와, 여기 진짜 신기해요!","[""저기요... 좀 깎아 주세요!"",""맛봐요, 맛봐!"",""조금만 더 주세요!"",""와, 여기 진짜 신기해요!""]",
704,7,"translation","""Korean culture is really fascinating.""","한국 문화가 신기해요.","[""감사합니다! 맛있어요!"",""맛봐요, 맛봐!"",""한국 문화가 신기해요."",""조금만 더 주세요!""]",
705,7,"fill_blank","와, 여기 진짜 ___!","신기해요","[""안 돼요"",""해요"",""몰라요"",""신기해요""]",
706,7,"fill_blank","한국 문화가 ___.","신기해요","[""안 돼요"",""신기해요"",""몰라요"",""해요""]",
707,7,"word_order","""This food is fascinating.""","와 여기 진짜 신기해요",,"[""와"",""여기"",""없어요"",""신기해요"",""진짜""]"
708,7,"translation","""Please give me more water.""","조금만 더 주세요!","[""한국 전통 시장이야. 뭐든 다 있어."",""다 해서 얼마예요?"",""맛봐요, 맛봐!"",""조금만 더 주세요!""]",
709,7,"translation","""Please give me more kimchi.""","김치 더 주세요.","[""김치 더 주세요."",""감사합니다! 맛있어요!"",""자, 따라 해봐. \""좀 깎아 주세요\"""",""다 해서 얼마예요?""]",
710,7,"fill_blank","조금만 ___!","더 주세요","[""몰라요"",""안 돼요"",""더 주세요"",""봐요""]",
711,7,"fill_blank","김치 ___.","더 주세요","[""해요"",""없어요"",""봐요"",""더 주세요""]",
712,7,"word_order","""Please give me more water.""","조금만 더 주세요",,"[""없어요"",""더"",""조금만"",""주세요""]"
713,7,"translation","""Please give me a discount.""","자, 따라 해봐. ""좀 깎아 주세요""","[""조금만 더 주세요!"",""감사합니다! 맛있어요!"",""자, 따라 해봐. \""좀 깎아 주세요\"""",""와, 여기 진짜 신기해요!""]",
714,7,"translation","""Please discount 10,000 won.""","만 원만 깎아 주세요.","[""이제 시장 고수네."",""다 해서 얼마예요?"",""만 원만 깎아 주세요."",""저기요... 좀 깎아 주세요!""]",
715,7,"fill_blank","자, 따라 해봐. ""좀 ___""","깎아 주세요","[""없어요"",""해요"",""몰라요"",""깎아 주세요""]",
716,7,"fill_blank","만 원만 ___.","깎아 주세요","[""몰라요"",""해요"",""깎아 주세요"",""없어요""]",
717,7,"word_order","""Please give me a discount.""","자 따라 해봐 ""좀 깎아 주세요""",,"[""주세요\"""",""자"",""따라"",""깎아"",""없어요"",""해봐"",""\""좀""]"
718,8,"translation","""Have you tried this app?""","이거 써봤어? 진짜 좋아!","[""제 피부 타입에 맞는 거 추천해 주세요."",""이거 써봤어? 진짜 좋아!"",""피부가 건성이에요, 지성이에요?"",""이제 K-뷰티 덕후 됐어!""]",
719,8,"translation","""Have you tried this cream?""","이 크림 써봤어요?","[""또 오고 싶어!"",""이 크림 써봤어요?"",""이게 제일 예뻐!"",""이제 K-뷰티 덕후 됐어!""]",
720,8,"fill_blank","이 크림 ___?","써봤어요","[""해요"",""써봤어요"",""봐요"",""안 돼요""]",
721,8,"word_order","""Have you tried this app?""","이거 써봤어 진짜 좋아",,"[""좋아"",""없어요"",""이거"",""써봤어"",""진짜""]"
722,8,"translation","""Please recommend something from the menu.""","제 피부 타입에 맞는 거 추천해 주세요.","[""이제 K-뷰티 덕후 됐어!"",""제 피부 타입에 맞는 거 추천해 주세요."",""뭐가 좋아? 다 신기해 보여요."",""이거... 친구한테 선물하려고요. 어떤 게 좋아?""]",
723,8,"translation","""Please recommend a place to stay.""","숙소 추천해 주세요.","[""이거... 친구한테 선물하려고요. 어떤 게 좋아?"",""K-뷰티 진짜 좋아! 좋은 제품이 정말 많아!"",""숙소 추천해 주세요."",""뭐가 좋아? 다 신기해 보여요.""]",
724,8,"fill_blank","제 피부 타입에 맞는 거 ___.","추천해 주세요","[""안 돼요"",""몰라요"",""해요"",""추천해 주세요""]",
725,8,"fill_blank","숙소 ___.","추천해 주세요","[""안 돼요"",""없어요"",""봐요"",""추천해 주세요""]",
726,8,"word_order","""Please recommend something from the menu.""","제 피부 타입에 맞는 거 추천해 주세요",,"[""제"",""주세요"",""피부"",""거"",""타입에"",""추천해"",""없어요"",""맞는""]"
727,8,"translation","""Which color do you like?""","이거... 친구한테 선물하려고요. 어떤 게 좋아?","[""뭐가 좋아? 다 신기해 보여요."",""이거... 친구한테 선물하려고요. 어떤 게 좋아?"",""이게 제일 예뻐!"",""또 오고 싶어!""]",
728,8,"translation","""Which flavor do you like?""","어떤 맛이 좋아요?","[""이게 제일 예뻐!"",""또 오고 싶어!"",""제 피부 타입에 맞는 거 추천해 주세요."",""어떤 맛이 좋아요?""]",
729,8,"word_order","""Which color do you like?""","이거 친구한테 선물하려고요 어떤 게 좋아",,"[""친구한테"",""없어요"",""게"",""좋아"",""어떤"",""선물하려고요"",""이거""]"
730,9,"translation","""It's tastier than I expected.""","생각보다 훨씬 빠르지?","[""오늘 날씨 너무 좋다!"",""이런 거 너무 좋아요."",""이제 알았지?"",""생각보다 훨씬 빠르지?""]",
731,9,"translation","""It's farther than I thought.""","생각보다 멀어요.","[""오늘 날씨 너무 좋다!"",""이미 너무 좋아요."",""한국 치킨... 생각보다 진짜 맛있어요!!"",""생각보다 멀어요.""]",
732,9,"word_order","""It's tastier than I expected.""","생각보다 훨씬 빠르지",,"[""없어요"",""훨씬"",""빠르지"",""생각보다""]"
733,9,"translation","""I'm so happy we're all together.""","다 같이 있어서 좋아요.","[""이런 거 너무 좋아요."",""이제 알았지?"",""오늘 날씨 너무 좋다!"",""다 같이 있어서 좋아요.""]",
734,9,"translation","""I'm glad we're all together today.""","오늘 다 같이 있어서 좋아요.","[""이제 알았지?"",""배달이 이렇게 빨라요?!"",""오늘 다 같이 있어서 좋아요."",""한국에 온 지 얼마 안 됐는데...""]",
735,9,"fill_blank","___.","다 같이 있어서 좋아요","[""다 같이 있어서 좋아요"",""몰라요"",""없어요"",""해요""]",
736,9,"fill_blank","오늘 ___.","다 같이 있어서 좋아요","[""봐요"",""다 같이 있어서 좋아요"",""없어요"",""해요""]",
737,9,"word_order","""I'm so happy we're all together.""","다 같이 있어서 좋아요",,"[""다"",""있어서"",""없어요"",""같이"",""좋아요""]"
738,9,"translation","""I already ate.""","이미 너무 좋아요.","[""이미 너무 좋아요."",""한국에 온 지 얼마 안 됐는데..."",""생각보다 훨씬 빠르지?"",""다 같이 있어서 좋아요.""]",
739,9,"translation","""I already know.""","이미 알아요.","[""이런 거 너무 좋아요."",""이미 알아요."",""오늘 날씨 너무 좋다!"",""한국 치킨... 생각보다 진짜 맛있어요!!""]",
740,9,"word_order","""I already ate.""","이미 너무 좋아요",,"[""이미"",""좋아요"",""없어요"",""너무""]"
741,10,"translation","""I'm so nervous.""","오늘 첫 수업이에요. 조금 떨려요.","[""해냈어요. 한국어로!"",""오늘 첫 수업이에요. 조금 떨려요."",""저는 에마예요. 미국에서 왔어요."",""에마야, 할 수 있어!""]",
742,10,"translation","""I'm nervous because it's the first day.""","첫날이라 떨려요.","[""경영학 전공이에요."",""잘 부탁드려요!"",""새로 온 학생이죠? 자기소개 해볼까요?"",""첫날이라 떨려요.""]",
743,10,"fill_blank","오늘 첫 수업이에요. 조금 ___.","떨려요","[""떨려요"",""안 돼요"",""해요"",""몰라요""]",
744,10,"fill_blank","첫날이라 ___.","떨려요","[""몰라요"",""봐요"",""떨려요"",""해요""]",
745,10,"word_order","""I'm so nervous.""","오늘 첫 수업이에요 조금 떨려요",,"[""오늘"",""수업이에요"",""없어요"",""첫"",""조금"",""떨려요""]"
746,10,"translation","""I'm from the United States.""","저는 에마예요. 미국에서 왔어요.","[""네..."",""경영학 전공이에요."",""저는 에마예요. 미국에서 왔어요."",""최고야!""]",
747,10,"translation","""I'm from the United Kingdom.""","영국에서 왔어요.","[""경영학 전공이에요."",""잘 부탁드려요!"",""오늘 첫 수업이에요. 조금 떨려요."",""영국에서 왔어요.""]",
748,10,"fill_blank","저는 에마예요. 미국___.","에서 왔어요","[""에서 왔어요"",""안 돼요"",""없어요"",""해요""]",
749,10,"fill_blank","영국___.","에서 왔어요","[""에서 왔어요"",""안 돼요"",""봐요"",""몰라요""]",
750,10,"word_order","""I'm from the United States.""","저는 에마예요 미국에서 왔어요",,"[""미국에서"",""없어요"",""왔어요"",""저는"",""에마예요""]"
751,10,"translation","""Nice to meet you. Please take good care of me.""","잘 부탁드려요!","[""잘 부탁드려요!"",""저는 에마예요. 미국에서 왔어요."",""해냈어요. 한국어로!"",""경영학 전공이에요.""]",
752,10,"translation","""Please take good care of me going forward.""","앞으로 잘 부탁드려요.","[""해냈어요. 한국어로!"",""오늘 첫 수업이에요. 조금 떨려요."",""에마야, 할 수 있어!"",""앞으로 잘 부탁드려요.""]",
753,10,"fill_blank","___!","잘 부탁드려요","[""없어요"",""봐요"",""잘 부탁드려요"",""해요""]",
754,10,"fill_blank","앞으로 ___.","잘 부탁드려요","[""안 돼요"",""해요"",""몰라요"",""잘 부탁드려요""]",
755,10,"word_order","""Nice to meet you. Please take good care of me.""","잘 부탁드려요",,"[""부탁드려요"",""잘"",""없어요""]"
756,11,"translation","""Do you need to transfer?""","갈아타요?","[""2호선 타면 돼!"",""네~"",""한 5분?"",""갈아타요?""]",
757,11,"translation","""I take the bus.""","버스 타요.","[""여기서 내려!"",""2호선이요?"",""한 5분?"",""버스 타요.""]",
758,11,"fill_blank","갈아___?","타요","[""안 돼요"",""타요"",""해요"",""없어요""]",
759,11,"fill_blank","버스 ___.","타요","[""봐요"",""해요"",""타요"",""안 돼요""]",
760,11,"translation","""You can take Line 2!""","2호선 타면 돼!","[""응, 신촌역에서 갈아타!"",""와, 빠르다!"",""갈아타요?"",""2호선 타면 돼!""]",
761,11,"translation","""I get off at Seoul Station.""","서울역에서 내려요.","[""서울역에서 내려요."",""갈아타요?"",""한 5분?"",""여기서 내려!""]",
762,11,"fill_blank","서울역___.","에서 내려요","[""해요"",""봐요"",""에서 내려요"",""없어요""]",
763,11,"word_order","""You can take Line 2!""","2호선 타면 돼",,"[""타면"",""2호선"",""돼"",""갈아타요?""]"
764,11,"translation","""Please take me to Hongdae!""","홍대까지 가 주세요!","[""다음엔 혼자 탈 수 있을 것 같아요!"",""응, 신촌역에서 갈아타!"",""홍대까지 가 주세요!"",""와, 빠르다!""]",
765,11,"translation","""Please take me to Myeongdong.""","명동까지 가 주세요.","[""명동까지 가 주세요."",""2호선이요?"",""얼마나 걸려요?"",""다음엔 혼자 탈 수 있을 것 같아요!""]",
766,11,"fill_blank","홍대___!","까지 가 주세요","[""까지 가 주세요"",""해요"",""안 돼요"",""봐요""]",
767,11,"fill_blank","명동___.","까지 가 주세요","[""까지 가 주세요"",""안 돼요"",""해요"",""갈아타요""]",
768,11,"word_order","""Please take me to Hongdae!""","홍대까지 가 주세요",,"[""홍대까지"",""주세요"",""가"",""갈아타요?""]"
769,12,"translation","""I'll go with this one.""","순두부찌개로 할게요!","[""여기 순두부찌개 맛집이야."",""맵기는요?"",""네, 자유롭게 드세요!"",""순두부찌개로 할게요!""]",
770,12,"translation","""I'll have the Americano.""","아메리카노로 할게요.","[""와, 냄새 너무 좋아요!"",""네, 자유롭게 드세요!"",""아메리카노로 할게요."",""여기 순두부찌개 맛집이야.""]",
771,12,"fill_blank","순두부찌개___!","로 할게요","[""안 돼요"",""몰라요"",""로 할게요"",""없어요""]",
772,12,"fill_blank","아메리카노___.","로 할게요","[""안 돼요"",""해요"",""로 할게요"",""없어요""]",
773,12,"word_order","""I'll go with this one.""","순두부찌개로 할게요",,"[""순두부찌개로"",""없어요"",""할게요""]"
774,12,"translation","""Please make it less spicy.""","덜 맵게 해 주세요.","[""여기 순두부찌개 맛집이야."",""덜 맵게 해 주세요."",""네, 자유롭게 드세요!"",""포장도 돼. 다음엔 포장해 가.""]",
775,12,"translation","""Please make it less sweet.""","덜 달게 해 주세요.","[""이 반찬 리필 돼요?"",""덜 달게 해 주세요."",""순두부찌개로 할게요!"",""이거 뭐가 들어가 있어요?""]",
776,12,"word_order","""Please make it less spicy.""","덜 맵게 해 주세요",,"[""주세요"",""덜"",""없어요"",""해"",""맵게""]"
777,12,"translation","""Can I get a refill on the drink?""","이 반찬 리필 돼요?","[""맵기는요?"",""네, 자유롭게 드세요!"",""이거 뭐가 들어가 있어요?"",""이 반찬 리필 돼요?""]",
778,12,"translation","""Is coffee refillable?""","커피 리필 돼요?","[""네, 자유롭게 드세요!"",""덜 맵게 해 주세요."",""커피 리필 돼요?"",""너무 맛있었어요!""]",
779,12,"fill_blank","이 반찬 ___?","리필 돼요","[""봐요"",""몰라요"",""안 돼요"",""리필 돼요""]",
780,12,"fill_blank","커피 ___?","리필 돼요","[""안 돼요"",""해요"",""없어요"",""리필 돼요""]",
781,12,"word_order","""Can I get a refill on the drink?""","이 반찬 리필 돼요",,"[""반찬"",""리필"",""이"",""돼요"",""없어요""]"
782,13,"translation","""What do you do on weekends?""","미안해요, 10분만요!","[""홍대 카페에서 만나!"",""아직 아무것도 없어요!"",""좋아요! 몇 시에 만날까요?"",""미안해요, 10분만요!""]",
783,13,"translation","""What are you doing tonight?""","오늘 저녁에 뭐 해요?","[""에마야, 주말에 뭐 해?"",""아직 아무것도 없어요!"",""홍대 카페에서 만나!"",""오늘 저녁에 뭐 해요?""]",
784,13,"fill_blank","오늘 저녁___?","에 뭐 해요","[""에 뭐 해요"",""몰라요"",""봐요"",""안 돼요""]",
785,13,"word_order","""What do you do on weekends?""","미안해요 10분만요",,"[""미안해요"",""10분만요"",""없어요""]"
786,13,"translation","""Do you want to eat together?""","소피랑 같이 영화 볼래?","[""저 조금 늦을 것 같아요..."",""소피랑 같이 영화 볼래?"",""다음에 해요, 다음에!"",""홍대 카페에서 만나!""]",
787,13,"translation","""Do you want to go together?""","같이 갈래요?","[""좋아요! 몇 시에 만날까요?"",""같이 갈래요?"",""에마야, 주말에 뭐 해?"",""다음에 해요, 다음에!""]",
788,13,"word_order","""Do you want to eat together?""","소피랑 같이 영화 볼래",,"[""볼래"",""영화"",""소피랑"",""같이"",""없어요""]"
789,13,"translation","""I think I'll be a little late, I'm sorry.""","저 조금 늦을 것 같아요...","[""저 조금 늦을 것 같아요..."",""아직 아무것도 없어요!"",""에마야, 주말에 뭐 해?"",""소피랑 같이 영화 볼래?""]",
790,13,"translation","""There's traffic, so I think I'll be a little late.""","길이 막혀서 조금 늦을 것 같아요.","[""소피랑 같이 영화 볼래?"",""에마야, 주말에 뭐 해?"",""좋아요! 몇 시에 만날까요?"",""길이 막혀서 조금 늦을 것 같아요.""]",
791,13,"fill_blank","저 ___...","조금 늦을 것 같아요","[""해요"",""안 돼요"",""없어요"",""조금 늦을 것 같아요""]",
792,13,"fill_blank","길이 막혀서 ___.","조금 늦을 것 같아요","[""몰라요"",""조금 늦을 것 같아요"",""해요"",""없어요""]",
793,13,"word_order","""I think I'll be a little late, I'm sorry.""","저 조금 늦을 것 같아요",,"[""없어요"",""저"",""조금"",""늦을"",""것"",""같아요""]"
794,14,"translation","""I'm lost, please help me.""","(지도 보며) 어...? 길을 잃었어요.","[""쭉 가면 돼요!"",""(혼잣말) 다음엔 지도 보여달라고 해야지."",""한 10분 정도 걸려요."",""(지도 보며) 어...? 길을 잃었어요.""]",
795,14,"translation","""I got lost because I don't have a map.""","지도가 없어서 길을 잃었어요.","[""한 10분 정도 걸려요."",""오른쪽이요? 감사해요!"",""(혼잣말) 다음엔 지도 보여달라고 해야지."",""지도가 없어서 길을 잃었어요.""]",
